actor,nationality
Anne Le Ny,France
Merna Kennedy,United States
Betty Morrisey,United States
Cary Grant,United Kingdom
Katharine Hepburn,United States
Margaret Sullavan,United States
Frank Morgan,United States
Priscilla Lane,United States
Peter Lorre,Austria
John Travolta,United States
Samuel L. Jackson,United States
Uma Thurman,United States
Barbara Stanwyck,United States
Edward G. Robinson,Romania
Anthony Perkins,United States
Janet Leigh,United States
John Gavin,United States
Otto Wernicke,Germany
Gustaf Gründgens,Germany
Brad Pitt,United States
Gwyneth Paltrow,United States
Jodie Foster,United States
Anthony Hopkins,United Kingdom
Scott Glenn,United States
Steven Bauer,Cuba
Michelle Pfeiffer,United States
Grace Kelly,United States
Ray Milland,Unknown
Robert Cummings,United States
Tim Roth,United Kingdom
Harvey Keitel,United States
Steve Buscemi,United States
Christian Bale,United Kingdom
Heath Ledger,Australia
Aaron Eckhart,United States
Helena Bonham Carter,United Kingdom
Glenn Ford,Canada
Gloria Grahame,United States
Lee Marvin,United States
Ricardo Darín,Argentina
Soledad Villamil,Argentina
Guillermo Francella,Argentina
Eiji Okada,Japan
Kyôko Kishida,Japan
Hiroko Ito,Unknown
Yves Montand,Italy
Charles Vanel,France
Véra Clouzot,Brazil
Joan Bennett,United States
Raymond Massey,Canada
Robert Mitchum,United States
Billy Chapin,United States
Sally Ann Bruce,United States
Sterling Hayden,United States
Louis Calhern,United States
Sam Jaffe,Unknown
Claude Rains,United Kingdom
Sharon Stone,United States
Sylvia Sidney,United States
Spencer Tracy,United States
Walter Abel,United States
Ulrich Mühe,Germany - East Germany (GDR)
Martina Gedeck,Germany
Sebastian Koch,Germany
Jean Servais,Belgium
Carl Möhner,Austria
Robert Manuel,France
Simone Signoret,France
Paul Meurisse,France
Chazz Palminteri,United States
Kevin Spacey,United States
Gabriel Byrne,Ireland
Leonardo DiCaprio,United States
Joseph Gordon-Levitt,United States
Elliot Page,Canada
Gustav Fröhlich,Germany
Brigitte Helm,Germany
Alfred Abel,Germany
Malcolm McDowell,United Kingdom
Patrick Magee,United Kingdom
Michael Bates,United Kingdom
Harrison Ford,United States
Rutger Hauer,Netherlands
Sean Young,United States
Mark Hamill,United States
Carrie Fisher,United States
Sigourney Weaver,United States
John Hurt,United Kingdom
Yaphet Kotto,United States
Keanu Reeves,Canada
Laurence Fishburne,United States
Carrie-Anne Moss,Canada
Matthew McConaughey,United States
Anne Hathaway,United States
David Gyasi,United Kingdom
Fred Willard,United States
Ben Burtt,United States
Jon Hamm,United States
Rafe Spall,United Kingdom
Oona Chaplin,Spain
Aleksandr Kaidanovsky,Russia
Anatoly Solonitsyn,Soviet Union
Nikolai Grinko,Unknown
Keir Dullea,United States
Gary Lockwood,United States
William Sylvester,United States
Shameik Moore,United States
Hailee Steinfeld,United States
Timothée Chalamet,United States
Zendaya,United States
Rebecca Ferguson,Sweden
Kevin McCarthy,United States
Dana Wynter,Germany
Larry Gates,United States
Jim Carrey,United States
Kate Winslet,United Kingdom
Kirsten Dunst,United States
Grant Williams,United States
Randy Stuart,United States
April Kent,United States
Lupita Nyong'o,Mexico
Pedro Pascal,Chile
Charlton Heston,United States
Roddy McDowall,United Kingdom
Kim Hunter,United States
Michael J. Fox,United States
Christopher Lloyd,United States
Lea Thompson,United States
Arnold Schwarzenegger,Austria
Linda Hamilton,United States
Donatas Banionis,Lithuania
Natalya Bondarchuk,Unknown
Yuri Jarvet,Estonia
Wallace Ford,United Kingdom
Leila Hyams,United States
Olga Baclanova,Unknown
Shelley Duvall,United States
Danny Lloyd,Unknown
Werner Krauss,Germany
Conrad Veidt,Germany
Friedrich Feher,Austria
Emil Jannings,Switzerland
Gösta Ekman,Sweden
Camilla Horn,Germany
Max Schreck,Germany
Alexander Granach,Austria
Gustav von Wangenheim,Germany
Tippi Hedren,United States
Rod Taylor,Australia
Jessica Tandy,United Kingdom
Mia Farrow,United States
John Cassavetes,United States
